COG24_CATEGORY,species_pair_count_with_1,species_pair_total,frequency
V,301,2821,0.10669975186104218
L,298,2821,0.10563629918468628
X,290,2821,0.10280042538107054
D,247,2821,0.08755760368663594
M,243,2821,0.08613966678482808
K,235,2821,0.08330379298121234
U,232,2821,0.08224034030485644
R,222,2821,0.07869549805033677
S,219,2821,0.07763204537398086
T,214,2821,0.07585962424672102
N,204,2821,0.07231478199220134
J,190,2821,0.06735200283587381
H,147,2821,0.052109181141439205
G,129,2821,0.04572846508330379
O,128,2821,0.045373980857851826
E,98,2821,0.034739454094292806
B,97,2821,0.034384969868840834
P,89,2821,0.031549096065225095
C,84,2821,0.02977667493796526
F,75,2821,0.026586316908897553
I,69,2821,0.02445941155618575
Q,42,2821,0.01488833746898263
W,26,2821,0.009216589861751152
A,15,2821,0.005317263381779511
