metric,label_set,species_pair,phylogeny,rate_IBD,rate_non_IBD,rate_change_IBD_minus_nonIBD,n_pairs_IBD,n_positive_IBD,n_pairs_non_IBD,n_positive_non_IBD
Non-plasmid HGT,phylogeny_lt_1_top5,42_2-44_3,0.0718935259999997,0.9302325581395348,0.3884892086330935,0.5417433495064412,43.0,40.0,139.0,54.0
Non-plasmid HGT,phylogeny_lt_1_top5,32_1-44_1,0.1365559819999999,0.7264957264957265,0.25,0.47649572649572647,117.0,85.0,64.0,16.0
Non-plasmid HGT,phylogeny_lt_1_top5,42_2-45_1,0.4673688170000001,0.7049180327868853,0.2428198433420365,0.46209818944484876,488.0,344.0,766.0,186.0
Non-plasmid HGT,phylogeny_lt_1_top5,44_1-46_1,0.2585427589999995,0.851063829787234,0.4705882352941176,0.38047559449311646,47.0,40.0,85.0,40.0
Non-plasmid HGT,phylogeny_lt_1_top5,44_3-48_2,0.2048378409999998,0.7377521613832853,0.4723756906077348,0.26537647077555043,347.0,256.0,362.0,171.0
Non-plasmid HGT,phylogeny_gt_1_top3,10_2-44_3,1.0591959219999998,0.5151515151515151,0.2241379310344827,0.29101358411703243,33.0,17.0,58.0,13.0
Non-plasmid HGT,phylogeny_gt_1_top3,10_2-48_2,1.0695076109999997,0.5492957746478874,0.3130081300813008,0.23628764456658657,71.0,39.0,246.0,77.0
Non-plasmid HGT,phylogeny_gt_1_top3,338_1-48_2,1.95292212,0.0152963671128107,0.0,0.0152963671128107,2615.0,40.0,3905.0,0.0
Plasmid HGT,phylogeny_lt_1_top5,44_1-46_1,0.2585427589999995,0.6808510638297872,0.2235294117647059,0.45732165206508135,47.0,32.0,85.0,19.0
Plasmid HGT,phylogeny_lt_1_top5,32_1-48_2,0.1919920209999994,0.4407294832826747,0.0439814814814814,0.3967480018011933,329.0,145.0,432.0,19.0
Plasmid HGT,phylogeny_lt_1_top5,44_1-44_3,0.018028584,0.4054054054054054,0.02,0.38540540540540535,37.0,15.0,50.0,1.0
Plasmid HGT,phylogeny_lt_1_top5,46_1-48_2,0.2695648880000001,0.40625,0.1435406698564593,0.2627093301435407,64.0,26.0,836.0,120.0
Plasmid HGT,phylogeny_lt_1_top5,44_1-45_1,0.4790299649999996,0.3327615780445969,0.075,0.2577615780445969,1166.0,388.0,160.0,12.0
Plasmid HGT,phylogeny_gt_1_top3,233_3-338_1,1.86889933,0.1951219512195122,0.0,0.1951219512195122,246.0,48.0,120.0,0.0
Plasmid HGT,phylogeny_gt_1_top3,229_3-338_1,1.866566692999999,0.0320945945945945,0.0,0.0320945945945945,592.0,19.0,1509.0,0.0
Plasmid HGT,phylogeny_gt_1_top3,338_1-48_2,1.95292212,0.0156787762906309,0.0,0.0156787762906309,2615.0,41.0,3905.0,0.0
