group	group_annotation	lrt_pvalue	fdr	log10p	beta	af	gene_instances	hgt_rows	max_overlap_bp
group_22336	Secreted protein	8.73E-09	4.34711e-06	8.058986	3.67E+00	4.08E-02	2	2	471
group_14419	Relaxase/mobilization nuclease domain-containing protein	8.73E-09	4.34711e-06	8.058986	3.67E+00	4.08E-02	2	2	1077
erm(F)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(F)	1.26E-08	5.17953e-06	7.899629	2.39E+00	9.44E-02	58	1062	801
tet(X2)	tetracycline-inactivating monooxygenase Tet(X2)	1.77E-08	7.01615e-06	7.752027	2.58E+00	8.15E-02	53	965	1137
Type VI secretion system, VipA, VC_A0107 or Hcp2	Type VI secretion system, VipA, VC_A0107 or Hcp2	2.31E-08	8.84093e-06	7.636388	2.72E+00	6.65E-02	26	86	468
group_23105	Nucleotidyltransferase	6.90E-08	2.25244e-05	7.161151	3.34E+00	4.29E-02	2	2	1227
L51-S25-CI-B8 domain-containing protein	L51-S25-CI-B8 domain-containing protein	6.90E-08	2.25244e-05	7.161151	3.34E+00	4.29E-02	2	2	381
MORN repeat protein	MORN repeat protein	7.99E-08	2.53374e-05	7.097453	2.07E+00	9.44E-02	72	395	462
DUF4240 domain-containing protein	DUF4240 domain-containing protein	1.28E-07	3.46505e-05	6.892790	3.16E+00	4.29E-02	28	951	855
group_23146	TetR/AcrR family transcriptional regulator	1.62E-07	4.18148e-05	6.790485	3.01E+00	4.72E-02	9	47	621
StlD/DarB family beta-ketosynthase	StlD/DarB family beta-ketosynthase	1.62E-07	4.18148e-05	6.790485	3.01E+00	4.72E-02	9	47	1140
group_16623	NERD domain-containing protein	1.82E-07	4.59095e-05	6.739929	3.03E+00	4.29E-02	29	952	795
site-specific integrase	site-specific integrase	3.48E-07	8.39663e-05	6.458421	2.68E+00	5.15E-02	20	516	1239
group_31244	hypothetical protein	3.79E-07	8.54623e-05	6.421361	2.83E+00	5.15E-02	10	49	120
group_31245	Uncharacterized conserved protein	3.79E-07	8.54623e-05	6.421361	2.83E+00	5.15E-02	10	49	1146
group_31246	CRAL-TRIO domain-containing protein	3.79E-07	8.54623e-05	6.421361	2.83E+00	5.15E-02	10	49	627
