metric	value
trait	growth: cellobiose
trait_id	growth_cellobiose
cohort_species_pair_rows_before_phylo_filter	6425
cohort_species_pair_rows_phylo_le_2	4380
binned_rows_plotted	84
Dutch_rows_phylo_le_2	3363
US_rows_phylo_le_2	1017
US_main_p	0.001396177535527
NL_main_p	0.00013470926521932884
US_delta_R2	0.039670275730259
NL_delta_R2	0.0070254656061792
US_downsampling_prop_p_lt_0_05	1.0
NL_downsampling_prop_p_lt_0_05	1.0
US_direction	mostly_suppresses_nonmonotonic
NL_DAG3_RISEUP_direction	mostly_suppresses_nonmonotonic
overall_direction	suppresses_HGT
